"","hydrophobicity","is_tmh","binds_mhc1","binds_mhc2"
"764",0.56,0,0,0
"765",-1.605,0,0,0
"766",0.3,0,0,0
"767",-0.075,0,0,0
"768",-0.285,0,0,0
"769",1.395,0,1,0
"770",-1.145,0,0,0
"771",0.23,0,0,0
"772",-1.79,0,0,0
"773",-0.365,0,0,0
"774",-1.02,0,0,0
"775",-0.335,0,1,0
"776",-1.295,0,1,0
"777",-0.195,0,0,0
"778",-1.065,0,0,0
"779",1.055,0,0,0
"780",-0.065,0,0,0
"781",-1.02,0,0,0
"782",0.325,0,1,0
"783",0.62,0,0,0
"784",1.05,0,1,0
"785",-1.475,0,0,0
"786",-1.005,0,0,0
"787",0.52,0,0,0
"788",0.91,0,1,0
"789",-0.745,0,0,0
"790",-1.615,0,0,0
"791",-1.87,0,0,0
"792",0.36,0,0,1
"793",0.08,0,1,0
"794",-2.035,0,0,0
"795",-0.65,0,0,0
"796",-0.25,0,0,0
"797",0.44,0,1,0
"798",-1.15,0,0,0
"799",-2.215,0,0,0
"800",-0.595,0,0,0
"801",0.06,0,0,0
"802",-0.22,0,0,0
"803",0.36,0,1,0
"804",-0.255,0,0,0
"805",2.12,0,1,0
"806",-1.25,0,0,0
"807",-1.085,0,0,0
"808",-0.02,0,0,0
"809",-0.45,0,0,0
"810",-0.405,0,1,0
"811",-1.155,0,0,0
"812",-1.4,0,0,0
"813",-0.165,0,0,0
"814",0.295,0,1,0
"815",0.99,0,0,0
"816",0.09,0,0,0
"817",-1.78,0,0,0
"818",-1.845,0,0,0
"819",-0.875,0,0,0
"820",0.855,0,1,0
"821",-0.03,0,0,0
"822",-1.23,0,0,0
"823",-1.56,0,0,0
"824",-0.17,0,0,0
"825",-1.575,0,0,0
"826",-0.81,0,0,0
"827",1.835,1,1,0
"828",-0.365,0,1,0
"829",-0.675,0,0,0
"830",0.975,0,1,0
"831",-0.265,0,0,0
"832",-0.595,0,0,0
"833",-0.775,0,1,0
"834",0.285,0,1,1
"835",0.175,0,0,0
"836",0.08,0,1,0
"837",0.095,0,1,0
"838",0.46,0,1,1
"839",0.52,0,0,0
"840",-0.32,0,1,0
"841",-1.64,0,0,0
"842",-0.305,0,1,0
"843",0.635,0,1,0
"844",-0.31,0,0,0
"845",0.96,0,0,0
"846",0.75,0,0,0
"847",-0.35,0,1,0
"848",-0.315,0,0,0
"849",-1.075,0,0,0
"850",0.445,0,1,0
"851",-0.645,0,0,0
"852",-0.245,0,0,0
"853",0.005,0,0,0
"854",0.2,0,0,0
"855",-0.675,0,0,0
"856",-0.555,0,1,0
"857",-2.29,0,0,0
"858",0.595,0,0,0
"859",-0.84,0,1,0
"860",0.445,0,1,0
"861",-2.005,0,0,0
"862",-1.525,0,0,0
"863",-0.64,0,0,0
"864",0.74,0,1,0
"865",-0.405,0,0,0
"866",-0.615,0,0,0
"867",-1.23,0,0,0
"868",1.27,0,1,0
"869",1.255,0,1,0
"870",-0.155,0,1,0
"871",-0.335,0,0,0
"872",-0.205,0,0,0
"873",-0.655,0,0,0
"874",0.24,0,0,0
"875",-0.585,0,0,0
"876",-1.3,0,0,0
"877",0.21,0,0,0
"878",1.03,0,1,0
"879",1.285,0,1,0
"880",0.48,0,1,0
"881",-0.125,0,0,0
"882",-1.38,0,0,0
"883",0.215,0,0,0
"884",-1.445,0,0,0
"885",-0.51,0,0,0
"886",0.26,0,0,0
"887",-0.155,0,1,0
"888",-1.45,0,0,0
"889",0.095,0,0,0
"890",-0.89,0,0,0
"891",-0.695,0,0,0
"892",0.835,0,0,0
"893",-1.51,0,0,0
"894",0.65,0,0,0
"895",1.06,0,1,0
"896",-0.105,0,0,0
"897",0.15,0,0,0
"898",0.715,0,0,0
"899",0.285,0,0,0
"900",-0.38,0,0,0
"901",-0.025,0,0,0
"902",-0.24,0,0,0
"903",0.94,0,0,0
"904",-0.715,0,0,0
"905",0.575,0,0,0
"906",0.635,0,1,1
"907",0.57,0,1,0
"908",-0.12,0,0,0
"909",-0.47,0,0,0
"910",0.25,0,1,1
"911",1.34,0,0,0
